
2024/03/27 (17:59:44) | ===> btop++ v.1.3.2
2024/03/27 (17:59:44) | INFO: Logger set to INFO
2024/03/27 (17:59:46) | INFO: Logger set to DEBUG
2024/03/27 (17:59:48) | INFO: Logger set to INFO
2024/03/27 (17:59:48) | INFO: Logger set to DEBUG
2024/03/27 (17:59:49) | INFO: Logger set to DEBUG
2024/03/27 (17:59:50) | INFO: Logger set to INFO
2024/03/27 (17:59:51) | INFO: Logger set to INFO
2024/03/27 (18:00:06) | INFO: Quitting! Runtime: 00:03:42

2024/03/27 (18:00:08) | ===> btop++ v.1.3.2
2024/03/27 (18:00:08) | INFO: Logger set to INFO
2024/03/27 (18:00:08) | INFO: Running on /dev/pts/2
2024/03/27 (18:00:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/27 (18:03:10) | INFO: Quitting! Runtime: 00:03:02
